HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,15200,11,11
1,672,75,75
2,704,115,115
3,672,155,155
4,672,195,195
5,672,235,235
6,672,275,275
7,832,315,315
8,672,355,355
9,10080,395,395
10,768,435,435
11,672,475,475
12,672,515,515
13,672,555,555
14,672,595,595
15,672,635,635
16,704,675,675
17,832,715,715
18,672,755,755
19,672,795,795
20,672,835,835
21,672,875,875
22,704,915,915
23,672,955,955
24,672,995,995
25,704,1035,1035
26,17376,1059,1059
27,704,1099,1099
28,672,1151,1151
29,704,1173,1173
30,11959232,1175,1175
